timestamp,heart_rate,blood_oxygen,activity_level,sleep_hours
2025-11-21 15:00:00,71,98,moderate,7.078228672238643
2025-11-21 16:00:00,89,99,low,6.527256750368462
2025-11-21 17:00:00,89,97,low,5.824420541992002
2025-11-21 18:00:00,70,92,high,5.090908841778303
2025-11-21 19:00:00,83,92,moderate,7.354976762363483
2025-11-21 20:00:00,80,97,low,6.000108101016546
2025-11-21 21:00:00,87,99,low,5.013150045011887
2025-11-21 22:00:00,96,95,high,7.664192191020966
2025-11-21 23:00:00,77,94,moderate,6.590732507596247
2025-11-22 00:00:00,75,92,moderate,6.8272533610749
2025-11-22 01:00:00,82,98,low,5.733593082092101
2025-11-22 02:00:00,74,96,moderate,7.952668458410564
2025-11-22 03:00:00,68,99,moderate,7.610937354738242
2025-11-22 04:00:00,83,95,high,7.837692651402293
2025-11-22 05:00:00,87,99,high,5.546676228277584
2025-11-22 06:00:00,67,97,high,6.376225708163753
2025-11-22 07:00:00,69,93,moderate,5.749840760102382
2025-11-22 08:00:00,97,93,moderate,6.158433489669733
2025-11-22 09:00:00,87,98,low,7.141867649564282
2025-11-22 10:00:00,63,92,high,6.074646930620344
2025-11-22 11:00:00,67,98,high,5.758680791817129
2025-11-22 12:00:00,99,92,high,5.282188781493486
2025-11-22 13:00:00,90,99,moderate,6.735147826917981
2025-11-22 14:00:00,64,92,high,7.263766076262974
2025-11-22 15:00:00,99,90,moderate,7.242455049896616
2025-11-22 16:00:00,69,91,high,5.994960273666895
2025-11-22 17:00:00,70,96,low,5.604945369956832
2025-11-22 18:00:00,95,90,high,6.128383482777962
2025-11-22 19:00:00,86,96,low,7.32000688051352
2025-11-22 20:00:00,94,90,high,6.641462637889972
2025-11-22 21:00:00,90,93,moderate,5.090839902808281
2025-11-22 22:00:00,85,96,moderate,5.244023456314599
2025-11-22 23:00:00,81,94,low,6.0346954595094715
2025-11-23 00:00:00,60,97,low,7.329441061023608
2025-11-23 01:00:00,93,96,low,5.103029060227379
2025-11-23 02:00:00,73,91,moderate,5.097091524133511
2025-11-23 03:00:00,66,96,low,5.711724998668167
2025-11-23 04:00:00,89,94,high,5.0087179846844485
2025-11-23 05:00:00,98,92,moderate,7.269055166372533
2025-11-23 06:00:00,91,90,high,7.8777232183621795
2025-11-23 07:00:00,61,95,moderate,6.280042480728794
2025-11-23 08:00:00,90,92,low,7.42405398278109
2025-11-23 09:00:00,80,98,high,6.9039850585954845
2025-11-23 10:00:00,85,92,high,5.4616789457377966
2025-11-23 11:00:00,68,93,low,6.380310706251784
2025-11-23 12:00:00,64,90,low,6.746622576949667
2025-11-23 13:00:00,83,97,low,7.388771090884889
2025-11-23 14:00:00,81,98,high,7.391399257550196
2025-11-23 15:00:00,98,92,moderate,7.526793136030541
2025-11-23 16:00:00,78,96,low,6.755439891008756
2025-11-23 17:00:00,86,98,low,7.921287144834611
2025-11-23 18:00:00,81,90,moderate,7.760500369455462
2025-11-23 19:00:00,89,96,moderate,5.567974879130841
2025-11-23 20:00:00,93,94,high,5.265264518440031
2025-11-23 21:00:00,70,95,low,7.882801695885956
2025-11-23 22:00:00,63,91,low,6.500205856268683
2025-11-23 23:00:00,70,90,moderate,5.55820014985251
2025-11-24 00:00:00,77,97,low,7.091989201943301
2025-11-24 01:00:00,75,91,high,6.015157619065872
2025-11-24 02:00:00,71,99,high,5.782936801113327
2025-11-24 03:00:00,71,97,low,5.1226512623511695
2025-11-24 04:00:00,77,96,low,5.092627088748911
2025-11-24 05:00:00,98,91,low,6.884178557320861
2025-11-24 06:00:00,92,97,moderate,6.5217241359376565
2025-11-24 07:00:00,85,94,high,7.874136071180759
2025-11-24 08:00:00,61,97,moderate,5.455892657855435
2025-11-24 09:00:00,98,90,moderate,6.56765920051007
2025-11-24 10:00:00,89,98,high,5.9912351218480895
2025-11-24 11:00:00,92,97,low,5.817092187547978
2025-11-24 12:00:00,96,96,low,7.070033464782232
2025-11-24 13:00:00,71,98,high,7.6841424179234625
2025-11-24 14:00:00,76,92,moderate,5.1686980385640755
2025-11-24 15:00:00,61,96,low,6.171686018823904
2025-11-24 16:00:00,70,96,low,6.468317842128494
2025-11-24 17:00:00,91,90,high,6.269184766197983
2025-11-24 18:00:00,80,94,low,7.069472778725953
2025-11-24 19:00:00,91,90,high,6.547025129295221
2025-11-24 20:00:00,82,92,high,6.56680992101057
2025-11-24 21:00:00,78,90,low,5.124318453670894
2025-11-24 22:00:00,62,91,high,6.775659009134728
2025-11-24 23:00:00,82,94,high,7.257311864931635
2025-11-25 00:00:00,65,95,moderate,7.216473318709271
2025-11-25 01:00:00,92,93,moderate,7.265551333101813
2025-11-25 02:00:00,64,92,high,5.701621235350652
2025-11-25 03:00:00,68,97,low,7.744824195100485
2025-11-25 04:00:00,63,91,low,6.574811525617136
2025-11-25 05:00:00,60,99,high,7.54257498612839
2025-11-25 06:00:00,63,93,moderate,5.642396076405632
2025-11-25 07:00:00,60,95,low,5.03302432044457
